STT,Phase,Hạng mục,Công việc,PIC,Deadline,Loại yêu cầu,Tình trạng,Ghi chú,,,Phase,Số công việc,Tổng số ngày ước tính,Tiêu chí Pass (điều kiện mở phase/sprint kế tiếp)
1,Phase 0,Chuẩn bị (Quyết định & Repo),"Xác nhận phạm vi Phase 1: build đúng 6 agent theo MVP-Scope v3.4 (A01 Orchestrator kiến trúc đầy đủ + 5 agent nội dung B02/B03/D01/D02/E01) — KHÔNG build theo PRD đầy đủ (12 agent, Hindsight, ChromaDB, Meta, Analytics)",Cả 2,23/07/2026,Quyết định,Production,Ghi vào docs/decisions/0000,,,Phase 0,11,0,
2,Phase 0,Chuẩn bị (Quyết định & Repo),Chốt ngưỡng đạt/không đạt của Evaluator (E01): Caption ≥7.0/10 VÀ Visual ≥3.5/5 — Trường & Thuận ký xác nhận,Cả 2,23/07/2026,Quyết định,Production,Ghi vào docs/decisions/0001,,,Phase 1,111,0,"Chạy ≥2 chu kỳ tuần liên tục không cần can thiệp tay ngoài duyệt bài. Trí nhớ agent thực sự dùng được bài học chu kỳ trước. Không worker/task treo >24h. Trường/Thuận (không phải Antigravity) xác nhận chất lượng caption/ảnh dùng được thật, không chỉ ""chạy được""."
3,Phase 0,Chuẩn bị (Quyết định & Repo),Chốt 4 mặc định tính năng phụ: không chạy chiến dịch ở Phase 1 (luôn Mode B) / form thương hiệu ngắn / lọc ảnh bằng tag / xin ảnh nhắn tay thủ công,Cả 2,23/07/2026,Quyết định,Production,MVP-Scope mục 7,,,Phase 2,14,-46226,"Đạt đủ KR rút gọn (chu kỳ ổn định, % duyệt lần đầu, thời gian duyệt) trong ≥4 tuần liên tục. Xác nhận rõ đăng tay có phải nút thắt cổ chai thật hay chưa, bằng công thức đã định."
4,Phase 0,Chuẩn bị (Quyết định & Repo),"Ghi nhận & khoanh vùng: PRD v1.2 (Tầng 4, do Thuận cập nhật) đã thiết kế lại Portal đầy đủ (Pixel Office, Kanban Task Board, Content Hub 3-tab) cho tầm nhìn full 12-agent — CHƯA thuộc phạm vi Portal đơn giản của Phase 1",Cả 2,23/07/2026,Quyết định,Production,,,,Phase 3,16,0,OAuth kết nối ≤5 phút (đo thật). Tỷ lệ đăng bài thành công không cần can thiệp tay đạt mục tiêu. Thời gian tạo→đăng (qua duyệt) đạt mục tiêu.
5,Phase 0,Chuẩn bị (Quyết định & Repo),"Tạo repository GitHub (private), mời 2 thành viên",Cả 2,23/07/2026,Hạ tầng,Production,Antigravity đọc đầu mỗi phiên làm việc,,,Phase 4,15,0,"Vòng lặp đầy đủ tạo→duyệt→đăng→phân tích→học chạy liên tục nhiều tuần, không thao tác tay ngoài duyệt bài (đạt KR1 gốc). G04 đo được có cải thiện chất lượng content chu kỳ sau không."
6,Phase 0,Chuẩn bị (Quyết định & Repo),"Thêm file hướng dẫn AI (AGENTS.md) vào gốc repo, cả 2 đọc kỹ 1 lượt",Cả 2,23/07/2026,Tài liệu,Production,,,,Phase 5,13,0,"B01 tạo IMC Plan đúng thương hiệu, qua cổng duyệt S1 không cần sửa nhiều. Tìm kiếm ngữ nghĩa trả đúng ngữ cảnh khi test với tài liệu dài thật."
7,Phase 0,Chuẩn bị (Quyết định & Repo),"Copy 2 tài liệu gốc mới nhất (PRD-CrewLab.md v1.2 + CrewLab-MVP-Scope-v3.4.md) vào docs/prd, giữ nguyên không sửa trực tiếp",Cả 2,23/07/2026,Tài liệu,Production,Giảm đụng file trùng giữa 2 người,,,Phase 6,10,0,"≥3-5 khách hàng chạy song song ổn định, không cần thêm người vận hành. Chi phí vận hành thêm 1 khách hàng mới ở mức thấp."
8,Phase 0,Chuẩn bị (Quyết định & Repo),"Phân chia phụ trách module: 1 người phụ trách Backend/Agent logic (A01 + 5 agent), 1 người phụ trách Portal & Internal App",Cả 2,23/07/2026,Quyết định,Production,,,,Phase 7,4,0,"Không có tiêu chí kỹ thuật cứng — đây là quyết định kinh doanh, dựa vào kết quả thật của Phase 6."
9,Phase 0,Chuẩn bị (Quyết định & Repo),Bật GitHub MCP trong Antigravity trên cả 2 máy,Cả 2,23/07/2026,Hạ tầng,Production,Phải chuyển sang public,,,,,,
10,Phase 0,Chuẩn bị (Quyết định & Repo),Bật bảo vệ nhánh main (bắt buộc qua Pull Request),Cả 2,23/07/2026,Hạ tầng,Production,,,,,,,
